fund_symbol,fund_category,investment_type,size_type,incept_year,vol_3mth,net_assets,pb_ratio,pe_ratio,fund_return,alpha_3yr,beta_3yr,ann_ret_3yr,std_3yr,sharpe_3yr,treynor_3yr
AADR,"Foreign Large Growth",Blend,Large,2010,2596,88836160,1.71,13.34,0.09,-1.3,1.11,0.85,22.42,0.4,6.11
AAXJ,"Pacific/Asia ex-Japan Stk",Blend,Large,2008,1036417,5574671872,2.03,18,-0.02,1.2,0.9,0.8,18.48,0.46,7.8
ABEQ,"Large Value",Value,Large,2020,4280,49694168,1.79,16.71,0.07,NULL,NULL,NULL,NULL,NULL,NULL
ACES,"Miscellaneous Sector",Growth,Medium,2018,106048,1007483264,3.62,31.27,-0.05,24.18,1.31,3.65,32.6,1.3,34.5
ACSI,"Large Blend",Blend,Large,2016,627,80720528,3.95,23.53,0.17,-1.22,1.02,1.47,19.42,0.85,15.44
ACTV,"Small Value",Value,Small,2020,7411,71334696,2.27,15.47,0.23,NULL,NULL,NULL,NULL,NULL,NULL
ACWX,"Foreign Large Blend",Blend,Large,2008,1778880,4305794560,1.94,18.87,0.1,-0.12,1,0.87,17.6,0.52,8.03
ADFI,"Multisector Bond",Growth,Small,2020,2612,15340206,NULL,NULL,-0.02,NULL,NULL,NULL,NULL,NULL,NULL
ADIV,"Pacific/Asia ex-Japan Stk",Value,Large,2021,430,4788004,1.67,13.41,NULL,2.2,0.93,1,17.34,0.62,10.65
ADRE,"Diversified Emerging Mkts",Blend,Large,2002,10611,209000368,2.63,16.42,-0.07,1.04,1.05,1,21.98,0.5,8.54
AESR,"Large Blend",Blend,Large,2019,13770,106446112,4.43,25.71,0.14,NULL,NULL,NULL,NULL,NULL,NULL
AFIF,"Multisector Bond",Value,Small,2018,24566,129347520,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AFK,"Miscellaneous Region",Blend,Medium,2008,11379,64691716,1.98,14.73,0.07,-8.56,1.22,0.34,24.15,0.12,-0.19
AFLG,"Large Blend",Blend,Large,2019,762,7627908,3.91,21.69,0.15,NULL,NULL,NULL,NULL,NULL,NULL
AFMC,"Mid-Cap Blend",Value,Medium,2019,717,1268811,2.44,15.98,0.19,NULL,NULL,NULL,NULL,NULL,NULL
AFSM,"Small Blend",Blend,Small,2019,909,1329882,2.26,13.67,0.2,NULL,NULL,NULL,NULL,NULL,NULL
AFTY,"China Region",Blend,Large,2015,3343,11670758,2.13,15.67,0.01,8.95,0.86,1.52,20.27,0.84,18.88
AGNG,Health,Growth,Large,2016,5483,60047984,4.88,32.77,0.09,2.3,0.84,1.27,17.69,0.79,16.02
AGOX,"Tactical Allocation",Blend,Large,2012,57062,162115536,3.11,20.29,NULL,1.72,1.61,1.6,19.03,0.94,10.98
AIA,"Pacific/Asia ex-Japan Stk",Blend,Large,2007,105066,2980516864,2.21,19.34,0.06,7.06,0.88,1.37,19.1,0.79,16.5
AIEQ,"Large Growth",Growth,Medium,2017,17801,173179712,8.16,34.94,0.17,-1.77,1.12,1.6,22.66,0.79,15.06
AIRR,Industrials,Blend,Small,2014,30003,247632160,2.43,24.46,0.21,-2.43,1.38,1.52,26.96,0.63,10.38
ALTL,"Large Value",Value,Large,2020,56053,105047336,4.29,24.42,0.29,NULL,NULL,NULL,NULL,NULL,NULL
ALTY,"Allocation--70% to 85% Equity",Value,Medium,2015,22403,33678136,1.8,9.55,0.2,-12.44,2.05,0.79,26.16,0.32,2.23
AMLP,"Energy Limited Partnership",Value,Medium,2010,1913925,5749876736,1.7,13.21,0.48,-19.87,2.05,0.84,47.39,0.19,-1.5
AMOM,"Large Growth",Growth,Large,2019,10435,34994380,9.16,29.32,0.15,NULL,NULL,NULL,NULL,NULL,NULL
AMZA,"Energy Limited Partnership",Value,Medium,2014,90841,317647456,1.71,12.96,0.65,-34.74,2.9,0.6,64.69,0.09,-5.82
ANGL,"High Yield Bond",Value,Large,2012,1621695,5051470848,9.73,59.99,0.04,5.15,0.95,0.85,11.36,0.79,9.24
AOA,"Allocation--70% to 85% Equity",Blend,Large,2008,63477,1434986112,2.71,22.36,0.1,-1.32,1.26,1.06,14.43,0.79,8.74
AOK,"Allocation--30% to 50% Equity",Blend,Large,2008,121237,926759744,2.71,22.36,0.03,1.27,0.54,0.66,6.28,1.06,12.62
AOM,"Allocation--30% to 50% Equity",Blend,Large,2008,175282,1678707072,2.71,22.36,0.05,0.78,0.68,0.74,7.77,0.97,11.32
AOR,"Allocation--50% to 70% Equity",Blend,Large,2008,148062,1814910848,2.71,22.39,0.08,-0.27,0.97,0.9,11.05,0.86,9.69
AQWA,"Natural Resources",Blend,Medium,2021,5395,3160387,3.12,27.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ARGT,"Miscellaneous Region",Growth,Medium,2011,10058,36250424,1,11.94,0.02,-2.92,1.64,1.13,39.04,0.32,2.81
ARKF,Technology,Growth,Large,2019,1076503,4002014464,7.39,43.05,0.09,NULL,NULL,NULL,NULL,NULL,NULL
ARKG,Health,Growth,Medium,2014,2555127,9743135744,5.04,NULL,-0.01,25.99,1.52,4.04,39.28,1.2,32.21
ARKK,"Mid-Cap Growth",Growth,Large,2014,5938783,25520136192,8.03,NULL,0.05,15.79,1.56,3.72,37.57,1.15,28.3
ARKQ,Technology,Growth,Large,2014,326651,3090148608,4.97,28.59,0.13,16.24,1.34,3.02,29.48,1.18,26.96
ARKW,Technology,Growth,Large,2014,753130,6354094080,8.55,50.48,0.05,22.96,1.44,3.7,32.86,1.31,31.97
ARMR,"Large Blend",Blend,Large,2020,16912,26425592,5.43,29.9,0.14,NULL,NULL,NULL,NULL,NULL,NULL
